question_text,meddic_element,buyer_persona,coaching_note,industry_segment
"Who has the authority to say yes to this, and who has the authority to say no?",EconomicBuyer,SupplyChainVP,The person who can say yes and the person who can say no are often different people. Knowing both helps you build support where it matters and address objections before they become blockers.,
"Has a budget been allocated for this initiative, or is that still being determined?",EconomicBuyer,SupplyChainVP,Allocated budget means the project is real. Unallocated budget means you're competing for funds that may go elsewhere. This question tells you how far along the internal process is.,
Who in your organization would feel the most pain if this problem isn't solved?,EconomicBuyer,LogisticsDirector,The person with the most pain is your natural champion. This question helps you identify who has the strongest motivation to drive the project internally — and who you should be building a relationship with.,
What level of investment would require board or executive committee approval?,EconomicBuyer,SupplyChainVP,"Understanding approval thresholds helps you structure your proposal to minimize friction. If you can stay below a certain threshold, you may be able to accelerate the process significantly.",
Is there a CFO or finance leader who would need to be part of this conversation?,EconomicBuyer,SupplyChainVP,Finance involvement signals that the deal is being taken seriously — but it also means you need a rigorous ROI case. Knowing this early helps you prepare the right materials.,
Who owns the P&L for the logistics or distribution function in your organization?,EconomicBuyer,SupplyChainVP,The P&L owner is almost always the economic buyer. They feel the cost of inefficiency directly in their numbers and have the most to gain from improvement. This is your primary target.,
What criteria does your leadership team use when evaluating technology investments?,DecisionCriteria,SupplyChainVP,"Understanding evaluation criteria tells you exactly what you need to prove. If they prioritize ROI, lead with financials. If they prioritize integration, lead with technical fit. Align your pitch to their criteria.",
What would make you confident that a routing solution is the right fit for your organization?,DecisionCriteria,LogisticsDirector,"This question surfaces the specific proof points they need to see. Use the answer to design your demo, pilot, and business case around what actually matters to them.",
How important is integration with your existing TMS or WMS in your evaluation?,DecisionCriteria,ITArchitect,Integration complexity is a common deal killer. Understanding this requirement early lets you involve the right technical resources and set realistic expectations about implementation effort.,
"What does your team value more — ease of use for dispatchers, or depth of optimization capability?",DecisionCriteria,FleetManager,"This reveals the tension between usability and power. Most organizations need both, but knowing which they prioritize helps you lead with the right capabilities in your demo.",
Are there compliance or regulatory requirements that any solution would need to meet?,DecisionCriteria,SupplyChainVP,Compliance requirements can be deal-makers or deal-breakers. Identifying them early prevents surprises and lets you demonstrate PTV's compliance capabilities proactively.,
How do you weigh total cost of ownership versus upfront implementation cost?,DecisionCriteria,SupplyChainVP,TCO-focused buyers need a multi-year financial model. Upfront-cost-focused buyers need a phased approach. Knowing which lens they use helps you structure your commercial proposal.,
What would cause you to choose one vendor over another at the end of this process?,DecisionCriteria,LogisticsDirector,This is the most direct way to understand your competitive differentiation requirements. The answer tells you exactly what you need to win — and what you need to protect against competitors.,
Is scalability across multiple depots or regions a requirement for you?,DecisionCriteria,SupplyChainVP,"Scalability requirements affect both the technical architecture and the commercial model. If they need to scale, PTV's enterprise capabilities become a key differentiator over point solutions.",
How critical is mobile access for your drivers or field technicians?,DecisionCriteria,FleetManager,"Mobile access is increasingly a baseline requirement. If it's critical, lead with PTV's mobile capabilities. If it's not, you can focus on planning and optimization depth instead.",
What security or data residency requirements does your IT team have for cloud-based solutions?,DecisionCriteria,ITArchitect,Data residency and security requirements can eliminate vendors early. Understanding these requirements lets you confirm PTV's compliance and avoid late-stage technical objections.,
How important is it that the solution works offline or in low-connectivity environments?,DecisionCriteria,FleetManager,"Offline capability matters for rural routes and areas with poor coverage. If this is a requirement, it needs to be addressed in the technical evaluation — not discovered during implementation.",
What does a successful vendor relationship look like for your organization?,DecisionCriteria,LogisticsDirector,"This reveals their expectations for support, partnership, and ongoing development. Aligning on relationship expectations early prevents disappointment and builds long-term loyalty.",
How do you evaluate the implementation risk of a new operational system?,DecisionCriteria,ITArchitect,"Risk tolerance varies widely. Understanding how they evaluate implementation risk helps you design a proposal that addresses their concerns — whether that's phased rollout, pilot programs, or reference customers.",
What level of customization do you need versus out-of-the-box functionality?,DecisionCriteria,ITArchitect,High customization requirements increase implementation cost and risk. Understanding this early helps you set realistic expectations and identify whether PTV's standard configuration meets their needs.,
How important is local language support and regional expertise in your evaluation?,DecisionCriteria,SupplyChainVP,"For European customers especially, local language support and regional knowledge are often decisive. PTV's European heritage and local presence is a genuine differentiator here.",
What does your reference check process look like when evaluating a new vendor?,DecisionCriteria,LogisticsDirector,Reference checks are a buying signal — they're doing serious evaluation. Knowing this lets you proactively prepare strong references in their industry and region before they ask.,
Where are you in your evaluation process — are you actively comparing vendors right now?,DecisionProcess,LogisticsDirector,Understanding where they are in the process tells you how much time you have and how competitive the situation is. Early-stage means you can shape the criteria. Late-stage means you need to differentiate fast.,
What does your typical timeline look like from evaluation to go-live for a project like this?,DecisionProcess,SupplyChainVP,Timeline expectations often don't match reality. Understanding their expected timeline helps you set realistic expectations and identify whether there's a compelling event driving urgency.,
"Have you done a formal RFP, or is this more of an exploratory conversation at this stage?",DecisionProcess,LogisticsDirector,An RFP means you're in a formal competitive process with defined criteria. An exploratory conversation means you have the opportunity to shape the evaluation before it becomes formal.,
What would need to happen internally before you could move forward with a decision?,DecisionProcess,SupplyChainVP,"Internal prerequisites are often the real timeline drivers. Budget approval, IT sign-off, board presentation — understanding these milestones helps you plan your engagement and support their internal process.",
Are there any budget cycles or planning windows that would affect the timing of this decision?,DecisionProcess,OperationsAnalyst,Budget cycles create natural decision windows. Missing a budget cycle can mean a 12-month delay. Understanding the cycle helps you create urgency around the right milestones.,
Who would be involved in a proof of concept or pilot evaluation?,DecisionProcess,ITArchitect,The pilot team is your internal implementation team. Knowing who's involved helps you build relationships with the right people and design a pilot that demonstrates value to all stakeholders.,
What does your IT team's involvement look like in a typical software evaluation?,DecisionProcess,ITArchitect,IT involvement can accelerate or delay deals. Understanding their role early helps you engage them proactively and address technical concerns before they become blockers.,
Have you worked with a systems integrator or consultant on projects like this before?,DecisionProcess,ITArchitect,SI involvement changes the dynamic — they often influence vendor selection. Knowing this helps you decide whether to engage the SI directly and how to position PTV within their ecosystem.,
"What would a successful pilot look like for your team, and how long would you need to evaluate?",DecisionProcess,FleetManager,Pilot design is critical. A well-designed pilot proves value quickly. A poorly designed pilot creates doubt. Understanding their success criteria for the pilot lets you design one that wins.,
Are there competing priorities that could delay a decision on this?,DecisionProcess,SupplyChainVP,Competing priorities are a leading cause of deal delays. Identifying them early lets you help the customer prioritize and create a compelling case for why this initiative should move forward now.,
What does your procurement process look like for a software investment of this size?,DecisionProcess,SupplyChainVP,"Procurement processes add time and complexity. Understanding the process early — legal review, security assessment, contract negotiation — helps you build a realistic timeline and avoid surprises.",
How long does it typically take your organization to go from vendor selection to contract signature?,DecisionProcess,LogisticsDirector,The gap between selection and signature is often longer than expected. Understanding this helps you set realistic close date expectations and plan your resources accordingly.,
Who would be on the evaluation committee for a project like this?,DecisionProcess,SupplyChainVP,"The evaluation committee is your audience. Knowing who's on it helps you tailor your presentation, prepare for different perspectives, and build relationships with all the key decision influencers.",
What is the biggest pain point in your current routing or scheduling process?,IdentifyPain,FleetManager,"Pain is the foundation of value selling. Without a clear, quantified pain, there's no urgency to change. This question opens the door — but push for specifics. 'Inefficiency' is not a pain. '3 hours of manual planning every morning' is.",
Where does your team lose the most time in the planning and dispatch process today?,IdentifyPain,FleetManager,"Time waste is a quantifiable pain. If planners spend hours on manual work that PTV can automate, that's a direct labor cost reduction. Get the hours — then multiply by headcount and cost.",
What happens when a route needs to change mid-day — how does your team handle that?,IdentifyPain,FleetManager,"Dynamic re-routing is one of PTV's strongest capabilities. If their current process is manual phone calls and spreadsheet updates, the contrast with PTV's real-time optimization is compelling.",
"What is the business impact of your current routing inefficiencies — in cost, time, or customer satisfaction?",IdentifyPain,LogisticsDirector,Quantifying the impact of the pain is essential for building a business case. Push for numbers — even rough estimates. A director who can't quantify the problem hasn't felt it enough to prioritize fixing it.,
What customer complaints or SLA failures are most directly tied to your routing or scheduling process?,IdentifyPain,LogisticsDirector,"Customer impact is the most powerful pain framing. SLA failures have direct financial consequences — penalties, credits, churn. Connecting routing problems to customer outcomes makes the case for urgency.",
"If you could eliminate one operational headache tomorrow, what would it be?",IdentifyPain,SupplyChainVP,This question cuts through the noise to find the real priority. The answer is often more honest than responses to more formal questions. Use it to understand what's keeping them up at night.,
"What is the cost of your current approach — in overtime, failed deliveries, or customer churn?",IdentifyPain,LogisticsDirector,"Total cost of the problem is your ROI baseline. Overtime, failed deliveries, and churn are all quantifiable. Even rough estimates create a compelling case for change.",
How much manual intervention does your team need to make your current routing system work?,IdentifyPain,OperationsAnalyst,"Manual intervention is a symptom of a system that doesn't work well enough. Quantifying it — hours per day, number of people involved — creates a direct labor cost argument for automation.",
What breaks down first when your volume spikes or you have unexpected disruptions?,IdentifyPain,FleetManager,Stress testing reveals the real weaknesses. The answer often points to the most critical capability gap — and the most compelling use case for PTV's dynamic optimization.,
What are the limitations of your current technology that are holding your team back?,IdentifyPain,ITArchitect,"IT architects know the technical debt better than anyone. Their answer often reveals integration gaps, scalability limits, or missing capabilities that PTV directly addresses.",
How does your current routing process affect driver satisfaction and retention?,IdentifyPain,FleetManager,"Driver retention is a growing challenge in logistics. Poor routing — inefficient routes, unrealistic schedules — contributes to driver dissatisfaction. This connects operational improvement to a talent problem.",
What is the ripple effect when a delivery is late or a service window is missed?,IdentifyPain,LogisticsDirector,Late deliveries don't just affect one customer — they cascade through the operation. Understanding the ripple effect helps quantify the true cost of routing failures.,
How much time does your planning team spend on exceptions and manual fixes each day?,IdentifyPain,OperationsAnalyst,"Exception handling is where planning teams spend most of their time. If they're spending 60% of their day on exceptions, that's a direct measure of how much their current system is failing them.",
What would your dispatchers say is the most frustrating part of their job right now?,IdentifyPain,FleetManager,Dispatcher frustration is a leading indicator of system failure. Their daily experience reveals the operational pain points that don't always make it into management reports.,
How does your current system handle multi-stop routes with time windows and vehicle constraints?,IdentifyPain,OperationsAnalyst,"This is a direct capability question. If their current system struggles with constraints, PTV's optimization engine is a direct solution. The answer also reveals the complexity of their routing problem.",
What happens to your operation when a driver calls in sick or a vehicle breaks down?,IdentifyPain,FleetManager,"Disruption handling reveals operational resilience — or lack of it. If the answer involves manual scrambling and phone calls, PTV's dynamic re-routing capability is a compelling solution.",
Who in your organization would be the strongest internal advocate for a project like this?,Champion,LogisticsDirector,A champion is essential for navigating internal politics and keeping the deal alive when you're not in the room. This question helps you identify who has the motivation and credibility to drive the project forward.,
Is there someone on your team who has been pushing for a better routing solution?,Champion,FleetManager,"Someone who's already been advocating internally is your natural champion. They've done the groundwork, they understand the problem, and they have credibility with their peers.",
"Who would benefit most from this change, and would they be willing to help make the case internally?",Champion,SupplyChainVP,The person who benefits most has the strongest motivation to champion the project. This question identifies them and tests their willingness to be an active advocate — not just a passive supporter.,
Who on your team would be most involved in the day-to-day use of a new solution?,Champion,FleetManager,Day-to-day users become champions when the solution makes their lives better. Identifying them early lets you design a demo and pilot that speaks directly to their experience.,
Is there someone in your organization who has experience with a similar implementation?,Champion,ITArchitect,Prior implementation experience is invaluable. Someone who's been through a similar project understands the challenges and can help navigate internal resistance. They're also more credible advocates.,
Who would you trust to evaluate the technical fit of a solution like this?,Champion,ITArchitect,The person they trust for technical evaluation is your technical champion. Building a strong relationship with them early is critical — they can either accelerate or block the deal.,
"If we moved forward, who would be your internal project lead?",Champion,LogisticsDirector,The project lead is your operational champion. They own the implementation and have a personal stake in its success. Identifying them early helps you build the right relationship and set realistic expectations.,
Who else in your organization should we be talking to as part of this process?,Champion,SupplyChainVP,"This question expands your network within the account. The people they suggest are either potential champions or potential blockers — either way, you need to know who they are.",
Who in your organization has the most to gain from solving this problem?,Champion,LogisticsDirector,The person with the most to gain is your most motivated potential champion. Their career success may be tied to solving this problem — which makes them a powerful internal advocate.,
Is there someone who has already built a business case for this internally?,Champion,SupplyChainVP,An existing business case means someone has already done the internal selling work. Finding that person and aligning with their case is far more efficient than starting from scratch.,
Who would be the go-to person for driving adoption across your operations team?,Champion,FleetManager,Adoption is where implementations succeed or fail. The person who can drive adoption across the operations team is a critical champion — they determine whether the solution actually gets used.,
Who in your organization has successfully led a technology change initiative before?,Champion,LogisticsDirector,Change management experience is rare and valuable. Someone who's done it before knows how to navigate resistance and build momentum. They're your most credible internal advocate.,
Is there a senior leader who has publicly committed to improving logistics performance?,Champion,SupplyChainVP,"A public commitment creates accountability and urgency. If a senior leader has committed to improvement, they need a solution — and they have the authority to make it happen.",
Can you tell me about the key stakeholders involved in your logistics or delivery operations?,People,LogisticsDirector,Understanding the stakeholder map is essential for multi-threading your engagement. This question opens the door to a broader conversation about who influences the decision and who will be affected by the change.,
"How many dispatchers, planners, or coordinators are involved in your routing process?",People,FleetManager,Headcount in the planning function helps quantify the labor cost of manual routing. It also tells you the scale of the change management challenge — more people means more adoption work.,
Who are the main users of your current routing or scheduling tools?,People,FleetManager,"Understanding the user base helps you design a demo and pilot that speaks to their specific needs. Different user types have different priorities — planners care about efficiency, drivers care about usability.",
How does your operations team interact with your drivers or field technicians day-to-day?,People,FleetManager,"The communication flow between operations and drivers reveals process inefficiencies and technology gaps. If it's mostly phone calls and manual updates, there's a clear opportunity for PTV's mobile capabilities.",
Are there third-party carriers or subcontractors involved in your delivery network?,People,LogisticsDirector,Third-party carriers add complexity to routing and visibility. Understanding the mix of owned fleet and subcontractors helps you scope the solution correctly and identify additional value opportunities.,
How does your IT team typically support operational technology rollouts?,People,ITArchitect,IT support models vary widely. Some IT teams are deeply involved; others are hands-off. Understanding their model helps you plan the implementation approach and identify potential resource constraints.,
Who owns the relationship with your current routing or TMS vendor?,People,ITArchitect,The person who owns the current vendor relationship is often the gatekeeper for change. Understanding this relationship helps you navigate the transition and identify potential resistance.,
How many people would be directly affected by a change to your routing system?,People,LogisticsDirector,Scale of impact determines the change management investment required. A change affecting 5 people is very different from one affecting 500. This helps you scope the implementation correctly.,
What does the relationship between your planning team and your drivers look like?,People,FleetManager,A strong planning-driver relationship is a sign of operational maturity. A strained one often indicates that current routing is creating problems for drivers — which is a pain point PTV can address.,
Are there union or labor agreement considerations that affect how you manage your fleet?,People,SupplyChainVP,Union agreements can constrain how routing changes are implemented. Identifying these constraints early prevents surprises during implementation and helps you design a compliant solution.,
Who are the key decision influencers outside of the formal approval chain?,People,LogisticsDirector,Informal influencers can make or break deals. The person who's not in the room but whose opinion matters is often the most important person to understand and engage.,
How does your customer service team interact with your logistics operation?,People,LogisticsDirector,Customer service is often the first to hear about delivery problems. Their relationship with logistics reveals how customer impact is measured and communicated internally — and who cares about fixing it.,
"How large is your fleet, and how is it distributed across locations?",Organization,FleetManager,"Fleet size and distribution determines the scale of the optimization opportunity. Larger, more distributed fleets have more complexity — and more value to unlock with PTV's optimization.",
"How many depots, warehouses, or service regions do you operate across?",Organization,LogisticsDirector,"Multi-depot operations are where PTV's network optimization capabilities shine. The more locations, the more complex the routing problem — and the greater the value of centralized optimization.",
"Is your logistics operation centralized, or do individual business units manage their own fleets?",Organization,SupplyChainVP,Centralized operations are easier to sell to but harder to implement. Decentralized operations require a different engagement strategy — you may need to win multiple business units independently.,
How does your organization handle seasonal volume fluctuations in your delivery network?,Organization,LogisticsDirector,"Seasonal peaks stress-test routing systems. If they struggle with peak volumes, PTV's scalable optimization is a direct solution. Understanding their peak patterns also helps size the solution correctly.",
"Do you operate your own fleet, use third-party carriers, or a mix of both?",Organization,SupplyChainVP,The fleet ownership model affects both the solution design and the business case. Owned fleet means direct cost control. Third-party carriers mean the value story is about efficiency and visibility.,
How is your supply chain team structured — is routing and scheduling centralized or distributed?,Organization,SupplyChainVP,Organizational structure determines who you need to sell to and how the solution will be governed. Centralized teams make faster decisions; distributed teams require broader stakeholder engagement.,
What does your technology landscape look like — what systems does your logistics team rely on today?,Organization,ITArchitect,Understanding the technology landscape is essential for integration planning. It also reveals the complexity of the current environment and the potential for PTV to consolidate or replace existing tools.,
"What integrations does your current routing solution have with your ERP, TMS, or WMS?",Organization,ITArchitect,Integration depth reveals how embedded the current solution is. Deep integrations mean higher switching costs — but also a clearer picture of what PTV needs to connect to in order to replace it.,
How many countries or regulatory environments does your logistics operation span?,Organization,SupplyChainVP,"Multi-country operations add regulatory complexity — different driving regulations, customs requirements, and compliance needs. PTV's European expertise and multi-country capabilities are a direct differentiator.",
"What is the mix of vehicle types in your fleet, and how does that affect your routing complexity?",Organization,FleetManager,"Vehicle heterogeneity increases routing complexity. Mixed fleets with different capacities, restrictions, and capabilities require sophisticated optimization — which is where PTV excels over simpler tools.",
How do you manage the relationship between your central planning team and regional operations?,Organization,LogisticsDirector,Central-regional tension is common in logistics. Understanding this dynamic helps you position PTV as a tool that gives central teams visibility while empowering regional teams with better tools.,
"What does your IT infrastructure look like — on-premise, cloud, or hybrid?",Organization,ITArchitect,Infrastructure determines deployment options and integration complexity. Cloud-first organizations are easier to deploy to. On-premise or hybrid environments require more careful technical planning.,
What initiatives are already underway to address your routing or scheduling challenges?,Plans,LogisticsDirector,"Existing initiatives are either competitors or opportunities. If they're already working on this problem, you need to understand whether PTV fits into their plan or replaces it.",
Have you evaluated other routing or optimization solutions recently?,Plans,LogisticsDirector,"Prior evaluations reveal their criteria, their experience with competitors, and their level of sophistication. If they've evaluated before and not bought, understanding why is critical.",
What does your roadmap look like for logistics technology over the next 12 to 24 months?,Plans,SupplyChainVP,"A technology roadmap tells you where they're going and whether PTV fits into their plans. If routing optimization is already on the roadmap, you're selling into a recognized need.",
Are there any internal projects or system migrations that would affect the timing of this initiative?,Plans,ITArchitect,Competing projects consume IT resources and budget. Understanding the project landscape helps you identify the right window for PTV's implementation and avoid conflicts.,
"What resources — budget, headcount, or IT capacity — have you allocated to address this problem?",Plans,SupplyChainVP,Allocated resources signal commitment. No allocation means the problem isn't a priority yet. Understanding the resource picture helps you assess deal readiness and identify what needs to happen to move forward.,
"Is there a business case already built for this investment, or is that still in progress?",Plans,OperationsAnalyst,An existing business case means someone has already done the internal selling work. Aligning with it — or helping complete it — is far more efficient than starting from scratch.,
"What does your current vendor roadmap look like, and are you satisfied with their direction?",Plans,ITArchitect,"Dissatisfaction with the current vendor's roadmap is a powerful buying trigger. If they're not getting what they need from their current solution, PTV's innovation and development pace becomes a key differentiator.",
"Are there any planned expansions — new depots, new markets, new service lines — that would affect your requirements?",Plans,SupplyChainVP,"Growth plans create new requirements. If they're expanding, they need a solution that scales with them. PTV's enterprise capabilities and global coverage become more relevant as they grow.",
What does your hiring plan look like for the logistics and operations team over the next year?,Plans,LogisticsDirector,"Hiring plans reveal growth trajectory and resource constraints. If they're not planning to hire, automation becomes more important. If they are hiring, PTV can help them scale more efficiently.",
Are there any sustainability or emissions reduction targets that your logistics operation needs to support?,Plans,SupplyChainVP,"Sustainability is increasingly a board-level priority. PTV's route optimization directly reduces fuel consumption and emissions. If they have sustainability targets, this is a powerful additional value driver.",
"What have you already tried to solve this problem, and what was the outcome?",Obstacles,LogisticsDirector,Prior attempts reveal what hasn't worked and why. This helps you avoid positioning PTV the same way as a failed solution and understand the specific gaps that need to be addressed.,
What concerns does your leadership team have about investing in a new routing solution?,Obstacles,SupplyChainVP,Leadership concerns are the real objections you need to address. Understanding them early lets you build your business case and presentation to proactively address each one.,
What has prevented you from solving this problem sooner?,Obstacles,FleetManager,"The answer reveals the real barriers — budget, priorities, internal politics, or technical constraints. Understanding these helps you address them directly rather than being surprised by them later.",
Are there internal political or organizational dynamics that could slow this down?,Obstacles,SupplyChainVP,Internal politics are a leading cause of deal delays. Understanding the dynamics early helps you navigate them — whether that means building broader support or helping your champion manage resistance.,
What would your IT team's biggest concern be about implementing a solution like this?,Obstacles,ITArchitect,"IT concerns are often technical — integration complexity, security, data migration. Identifying them early lets you involve the right technical resources and address concerns before they become blockers.",
What happened the last time your organization tried to change a core operational system?,Obstacles,LogisticsDirector,Prior change failures create organizational scar tissue. Understanding what went wrong helps you design an implementation approach that addresses those specific concerns and builds confidence.,
